,s,a,sp,r
15743,5,8,5,-3.0
15744,5,9,5,-3.0
15745,5,10,5,-2.0
15746,5,11,5,-3.0
15747,5,12,5,-3.0
15748,5,13,5,-2.0
15749,5,14,5,-3.0
15750,5,1,3,-3.0
15751,5,2,3,0.0
15752,5,3,3,3.0
15753,5,4,3,-2.0
15754,5,5,3,-3.0
15755,5,6,3,-3.0
15756,5,7,3,-3.0
15757,5,8,3,-3.0
15758,5,9,3,-5.0
15759,5,10,3,-2.0
15760,5,11,3,-3.0
15761,5,12,3,-2.0
15762,5,13,3,-3.0
15763,5,14,3,-3.0
15764,3,1,5,-3.0
15765,3,2,5,-2.0
15766,3,3,5,-3.0
15767,3,4,5,-3.0
15768,3,5,5,3.0
15769,3,6,5,-3.0
15770,3,7,5,-3.0
15771,3,8,5,-3.0
15772,3,9,5,-3.0
15773,3,10,5,-2.0
15774,3,11,5,-3.0
15775,3,12,5,-3.0
15776,3,13,5,-2.0
15777,3,14,5,-3.0
15778,12,1,5,-3.0
15779,12,2,5,-2.0
15780,12,3,5,-3.0
15781,12,4,5,-3.0
15782,12,5,5,2.0
15783,12,6,5,-3.0
15784,12,7,5,-3.0
15785,12,8,5,-3.0
15786,12,9,5,-3.0
15787,12,10,5,-2.0
15788,12,11,5,-3.0
15789,12,12,5,-3.0
15790,12,13,5,-2.0
15791,12,14,5,-3.0
15792,13,1,13,-3.0
15793,13,2,13,-1.0
15794,13,3,13,-3.0
15795,13,4,13,-2.0
15796,13,5,13,-2.0
15797,13,6,13,-3.0
15798,13,7,13,-3.0
15799,13,8,13,-3.0
15800,13,9,13,-3.0
15801,13,10,13,-3.0
15802,13,11,13,-3.0
15803,13,12,13,-3.0
15804,13,13,13,3.0
15805,13,14,13,-3.0
15806,7,1,7,-2.0
15807,7,2,7,-3.0
15808,7,3,7,-3.0
15809,7,4,7,-3.0
15810,7,5,7,-3.0
15811,7,6,7,-5.0
15812,7,7,7,5.0
15813,7,8,7,-3.0
15814,7,9,7,-2.0
15815,7,10,7,-3.0
15816,7,11,7,-2.0
15817,7,12,7,-3.0
15818,7,13,7,-3.0
15819,7,14,7,-2.0
15820,7,1,4,-3.0
15821,7,2,4,-3.0
15822,7,3,4,-2.0
15823,7,4,4,3.0
15824,7,5,4,-3.0
15825,7,6,4,-2.0
15826,7,7,4,-3.0
15827,7,8,4,-3.0
15828,7,9,4,-5.0
15829,7,10,4,-2.0
15830,7,11,4,-3.0
15831,7,12,4,-4.0
15832,7,13,4,-2.0
15833,7,14,4,-3.0
15834,4,1,1,3.0
15835,4,2,1,-2.0
15836,4,3,1,-3.0
15837,4,4,1,-3.0
15838,4,5,1,-3.0
15839,4,6,1,-5.0
15840,4,7,1,-2.0
15841,4,8,1,-3.0
15842,4,9,1,-2.0
15843,4,10,1,-3.0
15844,4,11,1,-3.0
15845,4,12,1,-2.0
15846,4,13,1,-3.0
15847,4,14,1,0.0
15848,1,1,4,-3.0
15849,1,2,4,-3.0
15850,1,3,4,-2.0
15851,1,4,4,4.0
15852,1,5,4,-3.0
15853,1,6,4,-2.0
15854,1,7,4,-3.0
15855,1,8,4,-3.0
15856,1,9,4,-5.0
15857,1,10,4,-2.0
15858,1,11,4,-3.0
15859,1,12,4,-4.0
15860,1,13,4,-2.0
15861,1,14,4,-3.0
15862,3,1,14,0.0
15863,3,2,14,-3.0
15864,3,3,14,-3.0
15865,3,4,14,-3.0
15866,3,5,14,-3.0
15867,3,6,14,-5.0
15868,3,7,14,-2.0
15869,3,8,14,-3.0
15870,3,9,14,-1.0
15871,3,10,14,-5.0
15872,3,11,14,-3.0
15873,3,12,14,-3.0
15874,3,13,14,-3.0
15875,3,14,14,3.0
15876,14,1,7,-2.0
15877,14,2,7,-3.0
15878,14,3,7,-3.0
15879,14,4,7,-3.0
15880,14,5,7,-3.0
15881,14,6,7,-5.0
15882,14,7,7,5.0
15883,14,8,7,-3.0
15884,14,9,7,-2.0
15885,14,10,7,-3.0
15886,14,11,7,-2.0
15887,14,12,7,-3.0
15888,14,13,7,-3.0
15889,14,14,7,-2.0
15890,7,1,5,-3.0
15891,7,2,5,-2.0
15892,7,3,5,-3.0
15893,7,4,5,-3.0
15894,7,5,5,3.0
15895,7,6,5,-3.0
15896,7,7,5,-3.0
15897,7,8,5,-3.0
15898,7,9,5,-3.0
15899,7,10,5,-2.0
15900,7,11,5,-3.0
15901,7,12,5,-3.0
15902,7,13,5,-2.0
15903,7,14,5,-3.0
15904,5,1,7,-2.0
15905,5,2,7,-3.0
15906,5,3,7,-3.0
15907,5,4,7,-3.0
15908,5,5,7,-3.0
15909,5,6,7,-5.0
15910,5,7,7,1.0
15911,5,8,7,-3.0
15912,5,9,7,-2.0
15913,5,10,7,-3.0
15914,5,11,7,-2.0
15915,5,12,7,-3.0
15916,5,13,7,-3.0
15917,5,14,7,-2.0
15918,7,1,3,-3.0
15919,7,2,3,0.0
15920,7,3,3,5.0
15921,7,4,3,-2.0
15922,7,5,3,-3.0
15923,7,6,3,-3.0
15924,7,7,3,-3.0
15925,7,8,3,-3.0
15926,7,9,3,-5.0
15927,7,10,3,-2.0
15928,7,11,3,-3.0
15929,7,12,3,-2.0
15930,7,13,3,-3.0
15931,7,14,3,-3.0
15932,1,1,1,3.0
15933,1,2,1,-2.0
15934,1,3,1,-3.0
15935,1,4,1,-3.0
15936,1,5,1,-3.0
15937,1,6,1,-5.0
15938,1,7,1,-2.0
15939,1,8,1,-3.0
15940,1,9,1,-2.0
15941,1,10,1,-3.0
15942,1,11,1,-3.0
15943,1,12,1,-2.0
15944,1,13,1,-3.0
15945,1,14,1,0.0
15946,7,1,1,3.0
15947,7,2,1,-2.0
15948,7,3,1,-3.0
15949,7,4,1,-3.0
15950,7,5,1,-3.0
15951,7,6,1,-5.0
15952,7,7,1,-2.0
15953,7,8,1,-3.0
15954,7,9,1,-2.0
15955,7,10,1,-3.0
15956,7,11,1,-3.0
15957,7,12,1,-2.0
15958,7,13,1,-3.0
15959,7,14,1,0.0
15960,8,1,7,-2.0
15961,8,2,7,-3.0
15962,8,3,7,-3.0
15963,8,4,7,-3.0
15964,8,5,7,-3.0
15965,8,6,7,-5.0
15966,8,7,7,4.0
15967,8,8,7,-3.0
15968,8,9,7,-2.0
15969,8,10,7,-3.0
15970,8,11,7,-2.0
15971,8,12,7,-3.0
15972,8,13,7,-3.0
15973,8,14,7,-2.0
15974,7,1,13,-3.0
15975,7,2,13,-1.0
15976,7,3,13,-3.0
15977,7,4,13,-2.0
15978,7,5,13,-2.0
15979,7,6,13,-3.0
15980,7,7,13,-3.0
15981,7,8,13,-3.0
15982,7,9,13,-3.0
15983,7,10,13,-3.0
15984,7,11,13,-3.0
15985,7,12,13,-3.0
15986,7,13,13,5.0
15987,7,14,13,-3.0
15988,13,1,14,0.0
15989,13,2,14,-3.0
15990,13,3,14,-3.0
15991,13,4,14,-3.0
15992,13,5,14,-3.0
15993,13,6,14,-5.0
15994,13,7,14,-2.0
15995,13,8,14,-3.0
15996,13,9,14,-1.0
15997,13,10,14,-5.0
15998,13,11,14,-3.0
15999,13,12,14,-3.0
16000,13,13,14,-3.0
16001,13,14,14,4.0
16002,14,1,5,-3.0
16003,14,2,5,-2.0
16004,14,3,5,-3.0
16005,14,4,5,-3.0
16006,14,5,5,4.0
16007,14,6,5,-3.0
16008,14,7,5,-3.0
16009,14,8,5,-3.0
16010,14,9,5,-3.0
16011,14,10,5,-2.0
16012,14,11,5,-3.0
16013,14,12,5,-3.0
16014,14,13,5,-2.0
16015,14,14,5,-3.0
16016,5,1,11,-3.0
16017,5,2,11,-2.0
16018,5,3,11,-3.0
16019,5,4,11,-3.0
16020,5,5,11,-3.0
16021,5,6,11,-5.0
16022,5,7,11,-2.0
16023,5,8,11,-3.0
16024,5,9,11,-5.0
16025,5,10,11,-2.0
16026,5,11,11,3.0
16027,5,12,11,-3.0
16028,5,13,11,-3.0
16029,5,14,11,-3.0
16030,11,1,14,0.0
16031,11,2,14,-3.0
16032,11,3,14,-3.0
16033,11,4,14,-3.0
16034,11,5,14,-3.0
16035,11,6,14,-5.0
16036,11,7,14,-2.0
16037,11,8,14,-3.0
16038,11,9,14,-1.0
16039,11,10,14,-5.0
16040,11,11,14,-3.0
16041,11,12,14,-3.0
16042,11,13,14,-3.0
16043,11,14,14,3.0
16044,14,1,5,-3.0
16045,14,2,5,-2.0
16046,14,3,5,-3.0
16047,14,4,5,-3.0
16048,14,5,5,2.0
16049,14,6,5,-3.0
16050,14,7,5,-3.0
16051,14,8,5,-3.0
16052,14,9,5,-3.0
16053,14,10,5,-2.0
16054,14,11,5,-3.0
16055,14,12,5,-3.0
16056,14,13,5,-2.0
16057,14,14,5,-3.0
16058,5,1,7,-2.0
16059,5,2,7,-3.0
16060,5,3,7,-3.0
16061,5,4,7,-3.0
16062,5,5,7,-3.0
16063,5,6,7,-5.0
16064,5,7,7,4.0
16065,5,8,7,-3.0
16066,5,9,7,-2.0
16067,5,10,7,-3.0
16068,5,11,7,-2.0
16069,5,12,7,-3.0
16070,5,13,7,-3.0
16071,5,14,7,-2.0
16072,7,1,14,0.0
16073,7,2,14,-3.0
16074,7,3,14,-3.0
16075,7,4,14,-3.0
16076,7,5,14,-3.0
16077,7,6,14,-5.0
16078,7,7,14,-2.0
16079,7,8,14,-3.0
16080,7,9,14,-1.0
16081,7,10,14,-5.0
16082,7,11,14,-3.0
16083,7,12,14,-3.0
16084,7,13,14,-3.0
16085,7,14,14,4.0
16086,14,1,7,-2.0
16087,14,2,7,-3.0
16088,14,3,7,-3.0
16089,14,4,7,-3.0
16090,14,5,7,-3.0
16091,14,6,7,-5.0
16092,14,7,7,3.0
16093,14,8,7,-3.0
16094,14,9,7,-2.0
16095,14,10,7,-3.0
16096,14,11,7,-2.0
16097,14,12,7,-3.0
16098,14,13,7,-3.0
16099,14,14,7,-2.0
16100,7,1,7,-2.0
16101,7,2,7,-3.0
16102,7,3,7,-3.0
16103,7,4,7,-3.0
16104,7,5,7,-3.0
16105,7,6,7,-5.0
16106,7,7,7,4.0
16107,7,8,7,-3.0
16108,7,9,7,-2.0
16109,7,10,7,-3.0
16110,7,11,7,-2.0
16111,7,12,7,-3.0
16112,7,13,7,-3.0
16113,7,14,7,-2.0
16114,7,1,7,-2.0
16115,7,2,7,-3.0
16116,7,3,7,-3.0
16117,7,4,7,-3.0
16118,7,5,7,-3.0
16119,7,6,7,-5.0
16120,7,7,7,3.0
16121,7,8,7,-3.0
16122,7,9,7,-2.0
16123,7,10,7,-3.0
16124,7,11,7,-2.0
16125,7,12,7,-3.0
16126,7,13,7,-3.0
16127,7,14,7,-2.0
16128,7,1,10,-3.0
16129,7,2,10,-1.0
16130,7,3,10,-2.0
16131,7,4,10,-2.0
16132,7,5,10,-2.0
16133,7,6,10,-5.0
16134,7,7,10,-3.0
16135,7,8,10,-3.0
16136,7,9,10,-5.0
16137,7,10,10,3.0
16138,7,11,10,-2.0
16139,7,12,10,-3.0
16140,7,13,10,-3.0
16141,7,14,10,-5.0
16142,5,1,3,-3.0
16143,5,2,3,0.0
16144,5,3,3,4.0
16145,5,4,3,-2.0
16146,5,5,3,-3.0
16147,5,6,3,-3.0
16148,5,7,3,-3.0
16149,5,8,3,-3.0
16150,5,9,3,-5.0
16151,5,10,3,-2.0
16152,5,11,3,-3.0
16153,5,12,3,-2.0
16154,5,13,3,-3.0
16155,5,14,3,-3.0
16156,1,1,5,-3.0
16157,1,2,5,-2.0
16158,1,3,5,-3.0
16159,1,4,5,-3.0
16160,1,5,5,4.0
16161,1,6,5,-3.0
16162,1,7,5,-3.0
16163,1,8,5,-3.0
16164,1,9,5,-3.0
16165,1,10,5,-2.0
16166,1,11,5,-3.0
16167,1,12,5,-3.0
16168,1,13,5,-2.0
16169,1,14,5,-3.0
16170,5,1,5,-3.0
16171,5,2,5,-2.0
16172,5,3,5,-3.0
16173,5,4,5,-3.0
16174,5,5,5,4.0
16175,5,6,5,-3.0
16176,5,7,5,-3.0
16177,5,8,5,-3.0
16178,5,9,5,-3.0
16179,5,10,5,-2.0
16180,5,11,5,-3.0
16181,5,12,5,-3.0
16182,5,13,5,-2.0
16183,5,14,5,-3.0
16184,8,1,8,-3.0
16185,8,2,8,-3.0
16186,8,3,8,-3.0
16187,8,4,8,-3.0
16188,8,5,8,-3.0
16189,8,6,8,-3.0
16190,8,7,8,-3.0
16191,8,8,8,5.0
16192,8,9,8,-3.0
16193,8,10,8,-3.0
16194,8,11,8,-3.0
16195,8,12,8,-3.0
16196,8,13,8,-3.0
16197,8,14,8,-3.0
16198,7,1,7,-2.0
16199,7,2,7,-3.0
16200,7,3,7,-3.0
16201,7,4,7,-3.0
16202,7,5,7,-3.0
16203,7,6,7,-5.0
16204,7,7,7,4.0
16205,7,8,7,-3.0
16206,7,9,7,-2.0
16207,7,10,7,-3.0
16208,7,11,7,-2.0
16209,7,12,7,-3.0
16210,7,13,7,-3.0
16211,7,14,7,-2.0
16212,7,1,5,-3.0
16213,7,2,5,-2.0
16214,7,3,5,-3.0
16215,7,4,5,-3.0
16216,7,5,5,4.0
16217,7,6,5,-3.0
16218,7,7,5,-3.0
16219,7,8,5,-3.0
16220,7,9,5,-3.0
16221,7,10,5,-2.0
16222,7,11,5,-3.0
16223,7,12,5,-3.0
16224,7,13,5,-2.0
16225,7,14,5,-3.0
16226,5,1,5,-3.0
16227,5,2,5,-2.0
16228,5,3,5,-3.0
16229,5,4,5,-3.0
16230,5,5,5,4.0
16231,5,6,5,-3.0
16232,5,7,5,-3.0
16233,5,8,5,-3.0
16234,5,9,5,-3.0
16235,5,10,5,-2.0
16236,5,11,5,-3.0
16237,5,12,5,-3.0
16238,5,13,5,-2.0
16239,5,14,5,-3.0
16240,5,1,1,3.0
16241,5,2,1,-2.0
16242,5,3,1,-3.0
16243,5,4,1,-3.0
16244,5,5,1,-3.0
16245,5,6,1,-5.0
16246,5,7,1,-2.0
16247,5,8,1,-3.0
16248,5,9,1,-2.0
16249,5,10,1,-3.0
16250,5,11,1,-3.0
16251,5,12,1,-2.0
16252,5,13,1,-3.0
16253,5,14,1,0.0
16254,1,1,5,-3.0
16255,1,2,5,-2.0
16256,1,3,5,-3.0
16257,1,4,5,-3.0
16258,1,5,5,3.0
16259,1,6,5,-3.0
16260,1,7,5,-3.0
16261,1,8,5,-3.0
16262,1,9,5,-3.0
16263,1,10,5,-2.0
16264,1,11,5,-3.0
16265,1,12,5,-3.0
16266,1,13,5,-2.0
16267,1,14,5,-3.0
16268,5,1,11,-3.0
16269,5,2,11,-2.0
16270,5,3,11,-3.0
16271,5,4,11,-3.0
16272,5,5,11,-3.0
16273,5,6,11,-5.0
16274,5,7,11,-2.0
16275,5,8,11,-3.0
16276,5,9,11,-5.0
16277,5,10,11,-2.0
16278,5,11,11,4.0
16279,5,12,11,-3.0
16280,5,13,11,-3.0
16281,5,14,11,-3.0
16282,11,1,11,-3.0
16283,11,2,11,-2.0
16284,11,3,11,-3.0
16285,11,4,11,-3.0
16286,11,5,11,-3.0
16287,11,6,11,-5.0
16288,11,7,11,-2.0
16289,11,8,11,-3.0
16290,11,9,11,-5.0
16291,11,10,11,-2.0
16292,11,11,11,4.0
16293,11,12,11,-3.0
16294,11,13,11,-3.0
16295,11,14,11,-3.0
16296,11,1,3,-3.0
16297,11,2,3,0.0
16298,11,3,3,4.0
16299,11,4,3,-2.0
16300,11,5,3,-3.0
16301,11,6,3,-3.0
16302,11,7,3,-3.0
16303,11,8,3,-3.0
16304,11,9,3,-5.0
16305,11,10,3,-2.0
16306,11,11,3,-3.0
16307,11,12,3,-2.0
16308,11,13,3,-3.0
16309,11,14,3,-3.0
16310,3,1,7,-2.0
16311,3,2,7,-3.0
16312,3,3,7,-3.0
16313,3,4,7,-3.0
16314,3,5,7,-3.0
16315,3,6,7,-5.0
16316,3,7,7,5.0
16317,3,8,7,-3.0
16318,3,9,7,-2.0
16319,3,10,7,-3.0
16320,3,11,7,-2.0
16321,3,12,7,-3.0
16322,3,13,7,-3.0
16323,3,14,7,-2.0
16324,7,1,5,-3.0
16325,7,2,5,-2.0
16326,7,3,5,-3.0
16327,7,4,5,-3.0
16328,7,5,5,3.0
16329,7,6,5,-3.0
16330,7,7,5,-3.0
16331,7,8,5,-3.0
16332,7,9,5,-3.0
16333,7,10,5,-2.0
16334,7,11,5,-3.0
16335,7,12,5,-3.0
16336,7,13,5,-2.0
16337,7,14,5,-3.0
16338,5,1,11,-3.0
16339,5,2,11,-2.0
16340,5,3,11,-3.0
16341,5,4,11,-3.0
16342,5,5,11,-3.0
16343,5,6,11,-5.0
16344,5,7,11,-2.0
16345,5,8,11,-3.0
16346,5,9,11,-5.0
16347,5,10,11,-2.0
16348,5,11,11,3.0
16349,5,12,11,-3.0
16350,5,13,11,-3.0
16351,5,14,11,-3.0
16352,11,1,3,-3.0
16353,11,2,3,0.0
16354,11,3,3,4.0
16355,11,4,3,-2.0
16356,11,5,3,-3.0
16357,11,6,3,-3.0
16358,11,7,3,-3.0
16359,11,8,3,-3.0
16360,11,9,3,-5.0
16361,11,10,3,-2.0
16362,11,11,3,-3.0
16363,11,12,3,-2.0
16364,11,13,3,-3.0
16365,11,14,3,-3.0
16366,3,1,5,-3.0
16367,3,2,5,-2.0
16368,3,3,5,-3.0
16369,3,4,5,-3.0
16370,3,5,5,4.0
16371,3,6,5,-3.0
16372,3,7,5,-3.0
16373,3,8,5,-3.0
16374,3,9,5,-3.0
16375,3,10,5,-2.0
16376,3,11,5,-3.0
16377,3,12,5,-3.0
16378,3,13,5,-2.0
16379,3,14,5,-3.0
16380,5,1,7,-2.0
16381,5,2,7,-3.0
16382,5,3,7,-3.0
16383,5,4,7,-3.0
16384,5,5,7,-3.0
16385,5,6,7,-5.0
16386,5,7,7,3.0
16387,5,8,7,-3.0
16388,5,9,7,-2.0
16389,5,10,7,-3.0
16390,5,11,7,-2.0
16391,5,12,7,-3.0
16392,5,13,7,-3.0
16393,5,14,7,-2.0
16394,7,1,13,-3.0
16395,7,2,13,-1.0
16396,7,3,13,-3.0
16397,7,4,13,-2.0
16398,7,5,13,-2.0
16399,7,6,13,-3.0
16400,7,7,13,-3.0
16401,7,8,13,-3.0
16402,7,9,13,-3.0
16403,7,10,13,-3.0
16404,7,11,13,-3.0
16405,7,12,13,-3.0
16406,7,13,13,4.0
16407,7,14,13,-3.0
16408,13,1,7,-2.0
16409,13,2,7,-3.0
16410,13,3,7,-3.0
16411,13,4,7,-3.0
16412,13,5,7,-3.0
16413,13,6,7,-5.0
16414,13,7,7,4.0
16415,13,8,7,-3.0
16416,13,9,7,-2.0
16417,13,10,7,-3.0
16418,13,11,7,-2.0
16419,13,12,7,-3.0
16420,13,13,7,-3.0
16421,13,14,7,-2.0
16422,7,1,4,-3.0
16423,7,2,4,-3.0
16424,7,3,4,-2.0
16425,7,4,4,4.0
16426,7,5,4,-3.0
16427,7,6,4,-2.0
16428,7,7,4,-3.0
16429,7,8,4,-3.0
16430,7,9,4,-5.0
16431,7,10,4,-2.0
16432,7,11,4,-3.0
16433,7,12,4,-4.0
16434,7,13,4,-2.0
16435,7,14,4,-3.0
16436,4,1,7,-2.0
16437,4,2,7,-3.0
16438,4,3,7,-3.0
16439,4,4,7,-3.0
16440,4,5,7,-3.0
16441,4,6,7,-5.0
16442,4,7,7,5.0
16443,4,8,7,-3.0
16444,4,9,7,-2.0
16445,4,10,7,-3.0
16446,4,11,7,-2.0
16447,4,12,7,-3.0
16448,4,13,7,-3.0
16449,4,14,7,-2.0
16450,7,1,4,-3.0
16451,7,2,4,-3.0
16452,7,3,4,-2.0
16453,7,4,4,4.0
16454,7,5,4,-3.0
16455,7,6,4,-2.0
16456,7,7,4,-3.0
16457,7,8,4,-3.0
16458,7,9,4,-5.0
16459,7,10,4,-2.0
16460,7,11,4,-3.0
16461,7,12,4,-4.0
16462,7,13,4,-2.0
16463,7,14,4,-3.0
16464,4,1,7,-2.0
16465,4,2,7,-3.0
16466,4,3,7,-3.0
16467,4,4,7,-3.0
16468,4,5,7,-3.0
16469,4,6,7,-5.0
16470,4,7,7,3.0
16471,4,8,7,-3.0
16472,4,9,7,-2.0
16473,4,10,7,-3.0
16474,4,11,7,-2.0
16475,4,12,7,-3.0
16476,4,13,7,-3.0
16477,4,14,7,-2.0
16478,7,1,4,-3.0
16479,7,2,4,-3.0
16480,7,3,4,-2.0
16481,7,4,4,4.0
16482,7,5,4,-3.0
16483,7,6,4,-2.0
16484,7,7,4,-3.0
16485,7,8,4,-3.0
16486,7,9,4,-5.0
16487,7,10,4,-2.0
16488,7,11,4,-3.0
16489,7,12,4,-4.0
16490,7,13,4,-2.0
16491,7,14,4,-3.0
16492,4,1,1,3.0
16493,4,2,1,-2.0
16494,4,3,1,-3.0
16495,4,4,1,-3.0
16496,4,5,1,-3.0
16497,4,6,1,-5.0
16498,4,7,1,-2.0
16499,4,8,1,-3.0
16500,4,9,1,-2.0
16501,4,10,1,-3.0
16502,4,11,1,-3.0
16503,4,12,1,-2.0
16504,4,13,1,-3.0
16505,4,14,1,0.0
16506,4,1,4,-3.0
16507,4,2,4,-3.0
16508,4,3,4,-2.0
16509,4,4,4,4.0
16510,4,5,4,-3.0
16511,4,6,4,-2.0
16512,4,7,4,-3.0
16513,4,8,4,-3.0
16514,4,9,4,-5.0
16515,4,10,4,-2.0
16516,4,11,4,-3.0
16517,4,12,4,-4.0
16518,4,13,4,-2.0
16519,4,14,4,-3.0
16520,4,1,4,-3.0
16521,4,2,4,-3.0
16522,4,3,4,-2.0
16523,4,4,4,1.0
16524,4,5,4,-3.0
16525,4,6,4,-2.0
16526,4,7,4,-3.0
16527,4,8,4,-3.0
16528,4,9,4,-5.0
16529,4,10,4,-2.0
16530,4,11,4,-3.0
16531,4,12,4,-4.0
16532,4,13,4,-2.0
16533,4,14,4,-3.0
16534,4,1,4,-3.0
16535,4,2,4,-3.0
16536,4,3,4,-2.0
16537,4,4,4,3.0
16538,4,5,4,-3.0
16539,4,6,4,-2.0
16540,4,7,4,-3.0
16541,4,8,4,-3.0
16542,4,9,4,-5.0
16543,4,10,4,-2.0
16544,4,11,4,-3.0
16545,4,12,4,-4.0
16546,4,13,4,-2.0
16547,4,14,4,-3.0
16548,4,1,4,-3.0
16549,4,2,4,-3.0
16550,4,3,4,-2.0
16551,4,4,4,3.0
16552,4,5,4,-3.0
16553,4,6,4,-2.0
16554,4,7,4,-3.0
16555,4,8,4,-3.0
16556,4,9,4,-5.0
16557,4,10,4,-2.0
16558,4,11,4,-3.0
16559,4,12,4,-4.0
16560,4,13,4,-2.0
16561,4,14,4,-3.0
16562,4,1,8,-3.0
16563,4,2,8,-3.0
16564,4,3,8,-3.0
16565,4,4,8,-3.0
16566,4,5,8,-3.0
16567,4,6,8,-3.0
16568,4,7,8,-3.0
16569,4,8,8,2.0
16570,4,9,8,-3.0
16571,4,10,8,-3.0
16572,4,11,8,-3.0
16573,4,12,8,-3.0
16574,4,13,8,-3.0
16575,4,14,8,-3.0
16576,5,1,7,-2.0
16577,5,2,7,-3.0
16578,5,3,7,-3.0
16579,5,4,7,-3.0
16580,5,5,7,-3.0
16581,5,6,7,-5.0
16582,5,7,7,3.0
16583,5,8,7,-3.0
16584,5,9,7,-2.0
16585,5,10,7,-3.0
16586,5,11,7,-2.0
16587,5,12,7,-3.0
16588,5,13,7,-3.0
16589,5,14,7,-2.0
16590,7,1,5,-3.0
16591,7,2,5,-2.0
16592,7,3,5,-3.0
16593,7,4,5,-3.0
16594,7,5,5,3.0
16595,7,6,5,-3.0
16596,7,7,5,-3.0
16597,7,8,5,-3.0
16598,7,9,5,-3.0
16599,7,10,5,-2.0
16600,7,11,5,-3.0
16601,7,12,5,-3.0
16602,7,13,5,-2.0
16603,7,14,5,-3.0
16604,5,1,11,-3.0
16605,5,2,11,-2.0
16606,5,3,11,-3.0
16607,5,4,11,-3.0
16608,5,5,11,-3.0
16609,5,6,11,-5.0
16610,5,7,11,-2.0
16611,5,8,11,-3.0
16612,5,9,11,-5.0
16613,5,10,11,-2.0
16614,5,11,11,3.0
16615,5,12,11,-3.0
16616,5,13,11,-3.0
16617,5,14,11,-3.0
16618,11,1,11,-3.0
16619,11,2,11,-2.0
16620,11,3,11,-3.0
16621,11,4,11,-3.0
16622,11,5,11,-3.0
16623,11,6,11,-5.0
16624,11,7,11,-2.0
16625,11,8,11,-3.0
16626,11,9,11,-5.0
16627,11,10,11,-2.0
16628,11,11,11,3.0
16629,11,12,11,-3.0
16630,11,13,11,-3.0
16631,11,14,11,-3.0
16632,11,1,3,-3.0
16633,11,2,3,0.0
16634,11,3,3,3.0
16635,11,4,3,-2.0
16636,11,5,3,-3.0
16637,11,6,3,-3.0
16638,11,7,3,-3.0
16639,11,8,3,-3.0
16640,11,9,3,-5.0
16641,11,10,3,-2.0
16642,11,11,3,-3.0
16643,11,12,3,-2.0
16644,11,13,3,-3.0
16645,11,14,3,-3.0
16646,3,1,7,-2.0
16647,3,2,7,-3.0
16648,3,3,7,-3.0
16649,3,4,7,-3.0
16650,3,5,7,-3.0
16651,3,6,7,-5.0
16652,3,7,7,3.0
16653,3,8,7,-3.0
16654,3,9,7,-2.0
16655,3,10,7,-3.0
16656,3,11,7,-2.0
16657,3,12,7,-3.0
16658,3,13,7,-3.0
16659,3,14,7,-2.0
16660,7,1,5,-3.0
16661,7,2,5,-2.0
16662,7,3,5,-3.0
16663,7,4,5,-3.0
16664,7,5,5,3.0
16665,7,6,5,-3.0
16666,7,7,5,-3.0
16667,7,8,5,-3.0
16668,7,9,5,-3.0
16669,7,10,5,-2.0
16670,7,11,5,-3.0
16671,7,12,5,-3.0
16672,7,13,5,-2.0
16673,7,14,5,-3.0
16674,5,1,4,-3.0
16675,5,2,4,-3.0
16676,5,3,4,-2.0
16677,5,4,4,3.0
16678,5,5,4,-3.0
16679,5,6,4,-2.0
16680,5,7,4,-3.0
16681,5,8,4,-3.0
16682,5,9,4,-5.0
16683,5,10,4,-2.0
16684,5,11,4,-3.0
16685,5,12,4,-4.0
16686,5,13,4,-2.0
16687,5,14,4,-3.0
16688,4,1,12,-2.0
16689,4,2,12,-1.0
16690,4,3,12,-2.0
16691,4,4,12,-4.0
16692,4,5,12,-3.0
16693,4,6,12,-5.0
16694,4,7,12,-3.0
16695,4,8,12,-3.0
16696,4,9,12,-3.0
16697,4,10,12,-3.0
16698,4,11,12,-3.0
16699,4,12,12,2.0
16700,4,13,12,-3.0
16701,4,14,12,-3.0
16702,12,1,5,-3.0
16703,12,2,5,-2.0
16704,12,3,5,-3.0
16705,12,4,5,-3.0
16706,12,5,5,2.0
16707,12,6,5,-3.0
16708,12,7,5,-3.0
16709,12,8,5,-3.0
16710,12,9,5,-3.0
16711,12,10,5,-2.0
16712,12,11,5,-3.0
16713,12,12,5,-3.0
16714,12,13,5,-2.0
16715,12,14,5,-3.0
16716,5,1,1,3.0
16717,5,2,1,-2.0
16718,5,3,1,-3.0
16719,5,4,1,-3.0
16720,5,5,1,-3.0
16721,5,6,1,-5.0
16722,5,7,1,-2.0
16723,5,8,1,-3.0
16724,5,9,1,-2.0
16725,5,10,1,-3.0
16726,5,11,1,-3.0
16727,5,12,1,-2.0
16728,5,13,1,-3.0
16729,5,14,1,0.0
16730,5,1,5,-3.0
16731,5,2,5,-2.0
16732,5,3,5,-3.0
16733,5,4,5,-3.0
16734,5,5,5,1.0
16735,5,6,5,-3.0
16736,5,7,5,-3.0
16737,5,8,5,-3.0
16738,5,9,5,-3.0
16739,5,10,5,-2.0
16740,5,11,5,-3.0
16741,5,12,5,-3.0
16742,5,13,5,-2.0
16743,5,14,5,-3.0
16744,5,1,3,-3.0
16745,5,2,3,0.0
16746,5,3,3,1.0
16747,5,4,3,-2.0
