,s,a,sp,r
216,7,7,5,-3.0
217,7,8,5,-3.0
218,7,9,5,-3.0
219,7,10,5,-2.0
220,7,11,5,-3.0
221,7,12,5,-3.0
222,7,13,5,-2.0
223,7,14,5,-3.0
224,13,1,8,-3.0
225,13,2,8,-3.0
226,13,3,8,-3.0
227,13,4,8,-3.0
228,13,5,8,-3.0
229,13,6,8,-3.0
230,13,7,8,-3.0
231,13,8,8,3.0
232,13,9,8,-3.0
233,13,10,8,-3.0
234,13,11,8,-3.0
235,13,12,8,-3.0
236,13,13,8,-3.0
237,13,14,8,-3.0
238,8,1,2,-2.0
239,8,2,2,4.0
240,8,3,2,0.0
241,8,4,2,-3.0
242,8,5,2,-2.0
243,8,6,2,-5.0
244,8,7,2,-3.0
245,8,8,2,-3.0
246,8,9,2,-5.0
247,8,10,2,-1.0
248,8,11,2,-2.0
249,8,12,2,-1.0
250,8,13,2,-1.0
251,8,14,2,-3.0
252,2,1,9,-2.0
253,2,2,9,-5.0
254,2,3,9,-5.0
255,2,4,9,-5.0
256,2,5,9,-3.0
257,2,6,9,-5.0
258,2,7,9,-2.0
259,2,8,9,-3.0
260,2,9,9,4.0
261,2,10,9,-5.0
262,2,11,9,-5.0
263,2,12,9,-3.0
264,2,13,9,-3.0
265,2,14,9,-1.0
266,9,1,13,-3.0
267,9,2,13,-1.0
268,9,3,13,-3.0
269,9,4,13,-2.0
270,9,5,13,-2.0
271,9,6,13,-3.0
272,9,7,13,-3.0
273,9,8,13,-3.0
274,9,9,13,-3.0
275,9,10,13,-3.0
276,9,11,13,-3.0
277,9,12,13,-3.0
278,9,13,13,4.0
279,9,14,13,-3.0
280,13,1,3,-3.0
281,13,2,3,0.0
282,13,3,3,4.0
283,13,4,3,-2.0
284,13,5,3,-3.0
285,13,6,3,-3.0
286,13,7,3,-3.0
287,13,8,3,-3.0
288,13,9,3,-5.0
289,13,10,3,-2.0
290,13,11,3,-3.0
291,13,12,3,-2.0
292,13,13,3,-3.0
293,13,14,3,-3.0
294,3,1,13,-3.0
295,3,2,13,-1.0
296,3,3,13,-3.0
297,3,4,13,-2.0
298,3,5,13,-2.0
299,3,6,13,-3.0
300,3,7,13,-3.0
301,3,8,13,-3.0
302,3,9,13,-3.0
303,3,10,13,-3.0
304,3,11,13,-3.0
305,3,12,13,-3.0
306,3,13,13,3.0
307,3,14,13,-3.0
308,13,1,13,-3.0
309,13,2,13,-1.0
310,13,3,13,-3.0
311,13,4,13,-2.0
312,13,5,13,-2.0
313,13,6,13,-3.0
314,13,7,13,-3.0
315,13,8,13,-3.0
316,13,9,13,-3.0
317,13,10,13,-3.0
318,13,11,13,-3.0
319,13,12,13,-3.0
320,13,13,13,5.0
321,13,14,13,-3.0
322,13,1,13,-3.0
323,13,2,13,-1.0
324,13,3,13,-3.0
325,13,4,13,-2.0
326,13,5,13,-2.0
327,13,6,13,-3.0
328,13,7,13,-3.0
329,13,8,13,-3.0
330,13,9,13,-3.0
331,13,10,13,-3.0
332,13,11,13,-3.0
333,13,12,13,-3.0
334,13,13,13,5.0
335,13,14,13,-3.0
336,13,1,6,-5.0
337,13,2,6,-5.0
338,13,3,6,-3.0
339,13,4,6,-2.0
340,13,5,6,-3.0
341,13,6,6,4.0
342,13,7,6,-5.0
343,13,8,6,-3.0
344,13,9,6,-5.0
345,13,10,6,-5.0
346,13,11,6,-5.0
347,13,12,6,-5.0
348,13,13,6,-3.0
349,13,14,6,-5.0
350,6,1,14,0.0
351,6,2,14,-3.0
352,6,3,14,-3.0
353,6,4,14,-3.0
354,6,5,14,-3.0
355,6,6,14,-5.0
356,6,7,14,-2.0
357,6,8,14,-3.0
358,6,9,14,-1.0
359,6,10,14,-5.0
360,6,11,14,-3.0
361,6,12,14,-3.0
362,6,13,14,-3.0
363,6,14,14,4.0
364,14,1,13,-3.0
365,14,2,13,-1.0
366,14,3,13,-3.0
367,14,4,13,-2.0
368,14,5,13,-2.0
369,14,6,13,-3.0
370,14,7,13,-3.0
371,14,8,13,-3.0
372,14,9,13,-3.0
373,14,10,13,-3.0
374,14,11,13,-3.0
375,14,12,13,-3.0
376,14,13,13,3.0
377,14,14,13,-3.0
378,3,1,3,-3.0
379,3,2,3,0.0
380,3,3,3,5.0
381,3,4,3,-2.0
382,3,5,3,-3.0
383,3,6,3,-3.0
384,3,7,3,-3.0
